Module	Section	Sample Name	Source
FastQC	all_sections	SRR1039508_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039508_1_fastqc.zip
FastQC	all_sections	SRR1039508_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039508_2_fastqc.zip
FastQC	all_sections	SRR1039509_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039509_1_fastqc.zip
FastQC	all_sections	SRR1039509_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039509_2_fastqc.zip
FastQC	all_sections	SRR1039512_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039512_1_fastqc.zip
FastQC	all_sections	SRR1039512_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039512_2_fastqc.zip
FastQC	all_sections	SRR1039513_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039513_1_fastqc.zip
FastQC	all_sections	SRR1039513_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039513_2_fastqc.zip
FastQC	all_sections	SRR1039516_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039516_1_fastqc.zip
FastQC	all_sections	SRR1039516_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039516_2_fastqc.zip
FastQC	all_sections	SRR1039517_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039517_1_fastqc.zip
FastQC	all_sections	SRR1039517_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039517_2_fastqc.zip
FastQC	all_sections	SRR1039520_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039520_1_fastqc.zip
FastQC	all_sections	SRR1039520_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039520_2_fastqc.zip
FastQC	all_sections	SRR1039521_1	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039521_1_fastqc.zip
FastQC	all_sections	SRR1039521_2	/mnt/c/Users/mabaj/Desktop/portfolio_project/rna-seq-differential-expression-pipeline/results/qc/fastqc_raw/SRR1039521_2_fastqc.zip
